Set	Acc	Loss	value
datathesesres192	0.2276666667	0.4999912	192
datathesesres384	0.1307692308	0.5446837	384
datathesesres48	0.2204013378	0.51238734	48
datathesesres768	0.1278911565	0.5581521	768
base	0.2370264474	0.48463976	96
